kind,modalities,rate,position,mask_seed,accuracy,macro_f1,weighted_f1,mae,pearson
position,TA,0.3,middle,701,0.6043956043956044,0.5761101540892105,0.6028352476672513,0.6269840002059937,0.6086995055277572
position,TA,0.3,middle,702,0.6043956043956044,0.5761101540892105,0.6028352476672513,0.6269840002059937,0.6086995055277572
position,TA,0.3,middle,703,0.6043956043956044,0.5761101540892105,0.6028352476672513,0.6269840002059937,0.6086995055277572
position,TA,0.3,back,701,0.570054945054945,0.5321555896396568,0.5625822465583277,0.6401131749153137,0.6113244274676172
position,TA,0.3,back,702,0.570054945054945,0.5321555896396568,0.5625822465583277,0.6401131749153137,0.6113244274676172
position,TA,0.3,back,703,0.570054945054945,0.5321555896396568,0.5625822465583277,0.6401131749153137,0.6113244274676172
position,TA,0.3,random,701,0.5961538461538461,0.5596137046833268,0.5875576473812424,0.6290196180343628,0.6035298512249401
position,TA,0.3,random,702,0.5961538461538461,0.5583722437609318,0.590920606759346,0.6221175789833069,0.6124550731858847
position,TA,0.3,random,703,0.5892857142857143,0.5578489840517897,0.5853003198221014,0.6345229744911194,0.6033908422686373
position,TV,0.3,front,701,0.5728021978021978,0.5349770169525471,0.5650330057611164,0.645153284072876,0.581316939480815
position,TV,0.3,front,702,0.5728021978021978,0.5349770169525471,0.5650330057611164,0.645153284072876,0.581316939480815
position,TV,0.3,front,703,0.5728021978021978,0.5349770169525471,0.5650330057611164,0.645153284072876,0.581316939480815
position,TV,0.3,middle,701,0.5906593406593407,0.55724278248081,0.5864852089653649,0.6395103931427002,0.5864186091663639
position,TV,0.3,middle,702,0.5906593406593407,0.55724278248081,0.5864852089653649,0.6395103931427002,0.5864186091663639
position,TV,0.3,middle,703,0.5906593406593407,0.55724278248081,0.5864852089653649,0.6395103931427002,0.5864186091663639
position,TV,0.3,back,701,0.570054945054945,0.5317479800354356,0.5638798434881005,0.6513752937316895,0.598871604001604
position,TV,0.3,back,702,0.570054945054945,0.5317479800354356,0.5638798434881005,0.6513752937316895,0.598871604001604
position,TV,0.3,back,703,0.570054945054945,0.5317479800354356,0.5638798434881005,0.6513752937316895,0.598871604001604
position,TV,0.3,random,701,0.5824175824175825,0.5485386514667793,0.576167508351562,0.6374735832214355,0.5849480419670052
position,TV,0.3,random,702,0.5865384615384616,0.549990453344129,0.580686233312066,0.6330390572547913,0.5879952474617782
position,TV,0.3,random,703,0.5851648351648352,0.5504738825568823,0.578460071390027,0.6454290747642517,0.5899113099243418
position,AV,0.3,front,701,0.6428571428571429,0.6135418196367878,0.6373056281100221,0.5975207090377808,0.6607504075526776
position,AV,0.3,front,702,0.6428571428571429,0.6135418196367878,0.6373056281100221,0.5975207090377808,0.6607504075526776
position,AV,0.3,front,703,0.6428571428571429,0.6135418196367878,0.6373056281100221,0.5975207090377808,0.6607504075526776
position,AV,0.3,middle,701,0.6414835164835165,0.6079259677177175,0.6333083866072735,0.6084449887275696,0.656542901692716
position,AV,0.3,middle,702,0.6414835164835165,0.6079259677177175,0.6333083866072735,0.6084449887275696,0.656542901692716
position,AV,0.3,middle,703,0.6414835164835165,0.6079259677177175,0.6333083866072735,0.6084449887275696,0.656542901692716
position,AV,0.3,back,701,0.6524725274725275,0.6234151586983668,0.6474699516149427,0.6046633720397949,0.6576010349663367
position,AV,0.3,back,702,0.6524725274725275,0.6234151586983668,0.6474699516149427,0.6046633720397949,0.6576010349663367
position,AV,0.3,back,703,0.6524725274725275,0.6234151586983668,0.6474699516149427,0.6046633720397949,0.6576010349663367
position,AV,0.3,random,701,0.6401098901098901,0.6094613278130866,0.6341651859621188,0.6061844229698181,0.6542510737012677
position,AV,0.3,random,702,0.6456043956043956,0.614179342794193,0.6390661389420772,0.6054779887199402,0.6579560697781721
position,AV,0.3,random,703,0.646978021978022,0.6158556001072029,0.6402982870560285,0.6045861840248108,0.6582537173377974
position,TAV,0.3,front,701,0.5755494505494505,0.5480436456519028,0.5740821636591704,0.6367844939231873,0.586089072297717
position,TAV,0.3,front,702,0.5755494505494505,0.5480436456519028,0.5740821636591704,0.6367844939231873,0.586089072297717
position,TAV,0.3,front,703,0.5755494505494505,0.5480436456519028,0.5740821636591704,0.6367844939231873,0.586089072297717
position,TAV,0.3,middle,701,0.5879120879120879,0.5627494754306349,0.5896376771376772,0.6259141564369202,0.6046683213687886
position,TAV,0.3,middle,702,0.5879120879120879,0.5627494754306349,0.5896376771376772,0.6259141564369202,0.6046683213687886
position,TAV,0.3,middle,703,0.5879120879120879,0.5627494754306349,0.5896376771376772,0.6259141564369202,0.6046683213687886
position,TAV,0.3,back,701,0.5659340659340659,0.5400754239420608,0.5664186564887732,0.6386138200759888,0.6071342882456027
position,TAV,0.3,back,702,0.5659340659340659,0.5400754239420608,0.5664186564887732,0.6386138200759888,0.6071342882456027
position,TAV,0.3,back,703,0.5659340659340659,0.5400754239420608,0.5664186564887732,0.6386138200759888,0.6071342882456027
position,TAV,0.3,random,701,0.5769230769230769,0.5502706403141381,0.5752483364842746,0.6275767087936401,0.5994486981870433
position,TAV,0.3,random,702,0.5906593406593407,0.5626561478852977,0.5915964286323631,0.6242367029190063,0.6030232226716229
position,TAV,0.3,random,703,0.5714285714285714,0.5474714412173413,0.573024440632467,0.6329769492149353,0.6008519156183375
